,Job Title,Experience,Position,Education,Company Name,Salary Estimate,Location,Rating,Is Remote,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape
0,Data Scientist,4,SENIOR,BACHELOR,"Stax
3.5",-1,Remote,3.5,True,201 to 500 Employees,2014,Company - Private,Financial Transaction Processing,Financial Services,$1 to $5 billion (USD),3.1,3.2,3.8,3.1,3.7,2023-05-11 13:40:15.284712
1,Data Engineer- Remote,2,-1,BACHELOR,"YT Global Network
5.0",$105.00 /hr (est.),Remote,5.0,True,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 13:40:18.006925
2,"Senior Data Scientist, Analytics",4,-1,BACHELOR,"Discord
3.6","$143,079 /yr (est.)","San Francisco, CA",3.6,False,501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD),3.5,4.0,3.6,3.1,3.4,2023-05-11 13:40:20.363830
3,Data Analyst II,2,-1,BACHELOR,"Cambium Learning Group
4.3",-1,Remote,4.3,True,1001 to 5000 Employees,2004,Company - Private,Primary & Secondary Schools,Education,$500 million to $1 billion (USD),4.0,4.2,4.1,3.9,4.2,2023-05-11 13:40:22.962120
4,Data Scientist I,2,-1,BACHELOR,"Vibrant Emotional Health
2.4",-1,Remote,2.4,True,201 to 500 Employees,-1,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD),2.5,3.1,2.3,2.0,2.1,2023-05-11 13:40:26.187300
5,Machine Learning engineer (REMOTE/ Contract),-1,-1,MASTER,"Glow Networks
3.6",-1,Remote,3.6,True,51 to 200 Employees,2003,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.5,3.1,3.4,3.1,3.1,2023-05-11 13:40:28.287455
6,Data Science Associate,1,JUNIOR,BACHELOR,"pulseData
4.4","$97,500 /yr (est.)",United States,4.4,False,1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,4.5,4.6,4.1,4.1,4.6,2023-05-11 13:40:30.784741
7,Senior Data Analyst,8,SENIOR,MASTER,Zora,$70.00 /hr (est.),Remote,-1,True,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 13:40:33.426942
8,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 13:40:37.008702
9,"AI Architect | REMOTE | Data Science, AI/ML, R",8,SENIOR,MASTER,Sciprex,$77.50 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 13:40:38.239085
10,DATA ARCHITECT ( Chat GPT ),-1,-1,-1,"Cloudious
3.3",$90.00 /hr (est.),"Mansfield, OH",3.3,False,1 to 50 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),2.7,2.4,3.0,3.0,3.5,2023-05-11 13:40:39.833600
11,"Associate Engineer, Data Science",-1,-1,MASTER,"Nagarro
4.3",-1,Remote,4.3,True,10000+ Employees,1996,Company - Public,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.1,4.1,4.3,4.0,4.1,2023-05-11 13:40:42.551390
12,Computer Science Expert AI Training - Remote Work,-1,-1,BACHELOR,"Scaleapi
3.6",$25.00 /hr (est.),Remote,3.6,True,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.8,3.4,3.7,3.4,3.2,2023-05-11 13:40:44.956805
13,"Technology Analyst Program - Data Science (Sunnyvale, CA)",-1,JUNIOR,BACHELOR,"Fiserv, Inc.
3.1","$95,000 /yr (est.)","Sunnyvale, CA",3.1,False,10000+ Employees,1984,Company - Public,Financial Transaction Processing,Financial Services,$10+ billion (USD),3.1,3.2,3.0,2.7,3.1,2023-05-11 13:40:47.574005
14,Data Scientist,-1,-1,BACHELOR,"Vetro Tech Inc
3.9","$91,000 /yr (est.)","Philadelphia, PA",3.9,False,Unknown,-1,Company - Public,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,3.9,3.9,3.4,3.4,3.9,2023-05-11 13:40:50.381393
15,Data Science Associate,2,-1,BACHELOR,"Gilead Sciences
3.9","$96,038 /yr (est.)","Raleigh, NC",3.9,False,10000+ Employees,1987,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.5,4.3,3.8,3.5,3.4,2023-05-11 13:40:52.989945
16,Data Analyst,3,SENIOR,BACHELOR,"Match Inc
3.0",$67.50 /hr (est.),"Cupertino, CA",3.0,False,1 to 50 Employees,-1,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 million (USD),3.0,3.0,3.0,3.0,3.0,2023-05-11 13:40:55.158798
17,Data Scientist,15,SENIOR,BACHELOR,"Hanker Systems Inc
5.0","$150,000 /yr (est.)",Remote,5.0,True,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,5.0,4.6,4.8,4.8,4.8,2023-05-11 13:40:57.382806
18,Data Scientist,-1,-1,BACHELOR,KesarWeb,"$98,000 /yr (est.)","Detroit, MI",-1,False,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 13:41:00.004497
19,Data Scientist,2,SENIOR,BACHELOR,"Citizens
3.7","$109,177 /yr (est.)","Boston, MA",3.7,False,10000+ Employees,1828,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD),3.6,3.6,3.8,3.4,3.7,2023-05-11 13:41:02.326959
20,Data Scientist,5,-1,BACHELOR,PROLIM Corporation,$77.50 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 13:41:04.805615
21,Senior Data Cloud Architect (Data Science Focus),-1,-1,MASTER,"Snowflake
4.1","$223,500 /yr (est.)",Remote,4.1,True,1001 to 5000 Employees,2012,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),4.1,4.2,4.0,3.9,3.7,2023-05-11 13:41:06.824763
22,Data Scientist,4,-1,MASTER,"Pinterest
4.0",-1,Remote,4.0,True,1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD),3.7,4.1,4.0,3.4,4.0,2023-05-11 13:41:10.048712
23,Junior Data Scientist - Telematics (REMOTE),2,JUNIOR,BACHELOR,"The Hartford
4.0",-1,"Charlotte, NC",4.0,False,10000+ Employees,1810,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),3.9,3.8,4.2,3.8,3.9,2023-05-11 13:41:12.620890
24,Marketing Data Analytics,5,-1,MASTER,"cyberThink
3.7",$65.00 /hr (est.),Remote,3.7,True,201 to 500 Employees,1996,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,3.3,3.4,3.2,3.4,3.4,2023-05-11 13:41:15.578876
25,Data Science Expert - AI Model Training,-1,-1,BACHELOR,"Appen
3.7",$60.00 /hr (est.),Remote,3.7,True,501 to 1000 Employees,1996,Company - Public,Business Consulting,Management & Consulting,$100 to $500 million (USD),3.3,3.1,3.4,3.2,3.9,2023-05-11 13:41:18.241718
26,Analyst - Analytics and Data Science,3,SENIOR,BACHELOR,"Blue Cross Blue Shield of Arizona
4.2","$70,000 /yr (est.)","Phoenix, AZ",4.2,False,1001 to 5000 Employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,3.9,4.0,4.3,4.0,4.0,2023-05-11 13:41:21.229656
27,Data Scientist III Data Science,-1,SENIOR,BACHELOR,"Kaiser Permanente
3.9","$140,875 /yr (est.)","Downey, CA",3.9,False,10000+ Employees,1945,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.7,4.3,3.6,3.2,3.5,2023-05-11 13:41:23.778196
28,Data Science (AI/ML),-1,-1,-1,"Anblicks
3.9","$69,782 /yr (est.)","Dallas, TX",3.9,False,501 to 1000 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.8,3.7,3.9,3.6,3.9,2023-05-11 13:41:25.888745
29,data scientist - multiple openings,3,SENIOR,BACHELOR,"Starbucks
3.7",-1,United States,3.7,False,10000+ Employees,1971,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),3.5,3.8,3.7,3.1,3.4,2023-05-11 13:41:28.220150
30,Junior AI Engineer,1,SENIOR,BACHELOR,"Octo
4.2","$87,503 /yr (est.)","Reston, VA",4.2,False,1001 to 5000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.0,3.9,4.0,3.9,4.2,2023-05-11 13:41:35.399298
31,Azure Data Engineer,4,-1,MASTER,"Sunixa Solutions
4.9",$61.18 /hr (est.),"Dallas, TX",4.9,False,51 to 200 Employees,2015,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.9,4.7,4.9,4.9,4.9,2023-05-11 13:41:38.698095
32,Data Scientist,5,SENIOR,BACHELOR,"Octo
4.2","$115,535 /yr (est.)","Reston, VA",4.2,False,1001 to 5000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.0,3.9,4.0,3.9,4.2,2023-05-11 13:41:41.082197
33,Data Science Co-op,-1,JUNIOR,BACHELOR,"Abiomed
3.6","$105,551 /yr (est.)","Danvers, MA",3.6,False,1001 to 5000 Employees,1981,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.8,3.7,3.6,3.3,2.9,2023-05-11 13:41:43.099785
34,Data Scientist,4,SENIOR,BACHELOR,"Overstock.com Inc.
3.1","$99,000 /yr (est.)",Remote,3.1,True,1001 to 5000 Employees,1999,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$1 to $5 billion (USD),3.2,3.0,3.4,2.8,3.4,2023-05-11 13:41:45.458141
35,Data Scientist,3,SENIOR,BACHELOR,"Stitch Fix
3.2","$221,500 /yr (est.)",Remote,3.2,True,10000+ Employees,2011,Company - Public,Other Retail Stores,Retail & Wholesale,$1 to $5 billion (USD),2.5,3.1,3.1,2.6,3.6,2023-05-11 13:41:47.954729
36,Data Scientist - Hybrid Remote,3,SENIOR,BACHELOR,"Sharecare
4.2","$140,000 /yr (est.)","New York, NY",4.2,False,1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),3.8,4.1,4.2,4.1,4.1,2023-05-11 13:41:50.326071
37,Associate Data Engineer,160,JUNIOR,BACHELOR,"The Travelers Companies, Inc.
4.0","$108,900 /yr (est.)","Hartford, CT",4.0,False,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),4.1,4.1,4.1,3.8,3.9,2023-05-11 13:41:52.519210
38,Data Engineer,3,-1,MASTER,"Sadup Softech
4.2",-1,United States,4.2,False,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,4.2,4.0,4.4,4.2,4.2,2023-05-11 13:41:55.162670
39,"Lead, Data Analyst",2,SENIOR,BACHELOR,"AppFolio
4.2","$135,000 /yr (est.)",Remote,4.2,True,1001 to 5000 Employees,2006,Company - Public,Software Development,Information Technology,$100 to $500 million (USD),4.2,3.8,4.4,4.1,4.4,2023-05-11 13:41:57.435707
40,"Manager, Data Science & Analytics",5,-1,BACHELOR,FedEx Dataworks,"$12,675 /mo (est.)",United States,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 13:41:59.403573
41,Data Scientist,3,JUNIOR,BACHELOR,National Consulting Partners,"$107,500 /yr (est.)",Remote,-1,True,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 13:42:01.246002
42,Statistical Analyst I,150,-1,MASTER,"Zurich Insurance
4.2","$65,910 /yr (est.)","Schaumburg, IL",4.2,False,10000+ Employees,1872,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),3.8,4.0,4.2,3.8,4.1,2023-05-11 13:42:03.357944
43,"Data Scientist, Product Analytics",3,SENIOR,MASTER,"Gametime United, Inc.
4.5","$137,500 /yr (est.)",Remote,4.5,True,51 to 200 Employees,2013,Company - Private,Ticket Sales,"Arts, Entertainment & Recreation",$25 to $100 million (USD),4.3,4.2,4.5,4.2,4.5,2023-05-11 13:42:05.874733
44,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 13:42:08.557699
45,Jr Data Scientist,2,-1,BACHELOR,"Veracity Software
3.9","$93,167 /yr (est.)","Iselin, NJ",3.9,False,51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,3.5,4.0,3.9,3.9,2023-05-11 13:42:10.002470
46,Data Scientist,-1,SENIOR,BACHELOR,FameArch,$52.50 /hr (est.),Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 13:42:13.257271
47,Data Scientist,5,SENIOR,BACHELOR,LookFar Labs,"$129,934 /yr (est.)",Remote,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-05-11 13:42:15.059543
48,Data Analyst,-1,-1,BACHELOR,"Tesla Government
4.3","$67,430 /yr (est.)","Falls Church, VA",4.3,False,51 to 200 Employees,2009,Contract,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.7,3.6,4.5,3.9,4.5,2023-05-11 13:42:17.322404
49,Senior Data Analyst,8,SENIOR,MASTER,Zora,$70.00 /hr (est.),Remote,-1,True,1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-05-11 13:42:19.681786
50,Director Data Science,-1,SENIOR,BACHELOR,"Webster Financial Corp
3.6","$145,000 /yr (est.)",Remote,3.6,True,1001 to 5000 Employees,1935,Subsidiary or Business Segment,Banking & Lending,Financial Services,$1 to $5 billion (USD),3.3,3.3,3.4,3.3,3.5,2023-05-11 13:42:21.644698
51,AI/ML Engineer,2,-1,BACHELOR,"Avaya
3.6","$122,900 /yr (est.)",Dallas-Fort Worth,3.6,False,5001 to 10000 Employees,2000,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),3.1,3.4,3.5,3.0,3.7,2023-05-11 13:42:23.909899
52,Data Engineer,3,-1,BACHELOR,"DataArt
4.6",-1,Remote,4.6,True,1001 to 5000 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.4,4.1,4.6,4.4,4.5,2023-05-11 13:42:26.583740
53,MLOps/Machine Learning Engineer,10,SENIOR,BACHELOR,"Kani Solutions Inc.
4.7",$72.50 /hr (est.),Remote,4.7,True,201 to 500 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.4,4.3,4.6,4.4,4.5,2023-05-11 13:42:29.229788
54,Sr. Data Engineer 18029,5,JUNIOR,BACHELOR,"Collaborative Mind LLC
4.0","$137,599 /yr (est.)",Remote,4.0,True,1 to 50 Employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),-1,-1,-1,-1,-1,2023-05-11 13:42:31.855536
55,Data Scientist,5,SENIOR,BACHELOR,"Focal Systems
4.4","$123,665 /yr (est.)","Burlingame, CA",4.4,False,1 to 50 Employees,2015,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD),4.4,4.4,4.3,4.2,4.1,2023-05-11 13:42:34.326199
56,Data Scientist (Remote),3,-1,BACHELOR,"Parsons
3.9","$108,750 /yr (est.)",Remote,3.9,True,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.7,3.7,3.8,3.5,3.8,2023-05-11 13:42:36.684417
